id;student_id;name;age;class_nam;address
1;82925;concept radical;86635;whiteboard;frictionless Configuration Shoes
2;97726;next Stream;98226;Forward connect;connect Shoes Virtual
3;11005;Planner invoice;57777;adapter and open-source;distributed
4;3117;circuit;26587;generate Refined;up experiences Uganda
5;77574;Electronics virtual;76972;payment Practical synthesizing;Advanced
6;62599;Total mindshare driver;92309;Rubber Pre-emptive online;Streets group deposit
7;48846;Computer;12741;installation services Course;Multi-lateral world-class Account
8;2903;Regional;58467;Account;PNG Virgin Buckinghamshire
9;86131;Platinum RAM;93202;navigating;white Grass-roots
10;74950;models;55614;Soft Guatemala;Lead
